"Table 4. Per Capita Personal Consumption Expenditures by State and Region for Select Categories, 2019",,,,,,
[Dollars],,,,,,
,Total Personal Consumption Expenditures,Housing and utilities,Health care,Off-premises food and beverages,Gasoline and other energy goods,All other Personal Consumption Expenditures
United States1,44276,8168,7467,3125,1022,24495
New England,53985,10293,8848,3746,1119,29980
Connecticut,54786,11140,8218,3399,1062,30967
Maine,47351,7444,8216,4299,1889,25503
Massachusetts,56231,10710,9324,3761,885,31551
New Hampshire,54585,10180,9380,4091,1531,29403
Rhode Island,47045,9248,7889,3393,1043,25472
Vermont,49377,9018,9012,4206,1603,25538
Mideast,51630,9598,8596,3185,870,29381
Delaware,45827,8335,9071,3468,1170,23783
District of Columbia,65352,11936,10487,4058,696,38176
Maryland,47529,11051,7717,2866,908,24986
New Jersey,54216,11215,8229,3442,867,30463
New York,54890,9657,9165,3206,701,32161
Pennsylvania,46502,7667,8262,3054,1099,26420
Great Lakes,43006,7239,7716,3056,1068,23927
Illinois,46198,8350,7378,2942,879,26648
Indiana,39145,6325,8156,2985,1255,20424
Michigan,41816,7154,7203,3118,1074,23266
Ohio,42707,6617,8033,3215,1042,23800
Wisconsin,43168,7273,8187,2959,1307,23441
Plains,42696,7216,7805,2872,1322,23482
Iowa,39324,6517,6702,2866,1478,21761
Kansas,38898,6831,7042,3148,1024,20853
Minnesota,47159,8524,8618,2886,1150,25981
Missouri,41279,6792,7606,2722,1375,22783
Nebraska,41789,6759,7518,2908,1447,23157
North Dakota,47902,7233,8954,2983,1986,26746
South Dakota,46117,6550,10083,2756,1636,25092
Southeast,39283,7087,6753,3081,1012,21349
Alabama,35490,5828,6296,2815,1055,19496
Arkansas,35026,5577,6552,2553,1234,19112
Florida,43018,8065,7107,3361,798,23687
Georgia,38076,6843,6215,3128,1038,20852
Kentucky,36348,5911,6991,3253,1145,19048
Louisiana,37250,6370,6928,2942,1139,19870
Mississippi,32329,5590,6465,2750,1072,16452
North Carolina,37099,6486,6815,2982,1013,19802
South Carolina,36073,6175,5890,3068,1245,19695
Tennessee,37582,6665,6584,2755,1079,20499
Virginia,46539,9654,6837,3191,1042,25815
West Virginia,37276,5572,9071,2902,1121,18609
Southwest,39491,6831,6342,2858,1096,22364
Arizona,38044,7228,6303,2846,962,20705
New Mexico,37158,6590,6825,2970,1223,19549
Oklahoma,35618,5837,6622,2340,1302,19518
Texas,40552,6885,6279,2923,1092,23373
Rocky Mountain,42804,8085,6577,3251,1132,23760
Colorado,46362,9386,6920,3572,991,25493
Idaho,37183,6607,6777,2903,1220,19676
Montana,42400,7000,7931,3506,1243,22719
Utah,39514,6969,5259,2762,1078,23446
Wyoming,43723,7877,7336,3367,2352,22791
Far West,48426,10150,7901,3300,910,26165
Alaska,50701,9098,11337,3825,882,25560
California,49291,10601,8005,3224,922,26539
Hawaii,49435,10726,7390,4141,631,26546
Nevada,43166,7713,5844,3267,945,25397
Oregon,43707,8708,7596,3538,963,22901
Washington,48274,9585,8129,3370,860,26328
